source,target,relationship,edge_type,weight,edge_color,date,source type,target type,url title,url
Alex Dietrich,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,military,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Alien Scientist,Jack Sarfatti,interviewed,,1,green,2025-11-08,military,,,
Allen Hynek,Jacques Valle,collaborated_with,,,#0080ff,,,,,
Allen Hynek,Mark Rodeghier,collaborated_with,,,#0080ff,,,,,
Allen Hynek,NatGeo doc,mentioned_in,,,#0080ff,,,,,
Allen Hynek,Steven Spielberg,collaborated_with,,,#0080ff,,,,,
Allen Hynek,The Disclosure Project,mentioned_in,,,#0080ff,,,,,
Andre Carson,NatGeo doc,appeared_on,,,#0080ff,,gov,politician,,
Avi Loeb,Neil D Tyson,criticized,media,1,#0080ff,2022-03-12,physicist,,,
Avi Loeb,Ross Coulthart,criticized,,1,#0080ff,2025-11-08,physicist,,,
Barack Obama,NatGeo doc,mentioned_in,,,#0080ff,,,,,
Beatriz Villaroel,NatGeo doc,appeared_on,,,#0080ff,,,,,
Beatriz Villaroel,NatGeo doc,appeared_on,,,#0080ff,,,,,
Billy Carson,Asymmetric Disclosure,appeared_on,,,#0080ff,,,,,
Blake Cousins,Asymmetric Disclosure,appeared_on,,,#0080ff,,jounalist,,,
Blake Cousins,Michael Schratt,interviewed,,,#0080ff,,jounalist,aerospace historian,,
Blake Cousins,Steven Greer,interviewed,,,#0080ff,,jounalist,,,
Cap. Mantell,NatGeo doc,appeared_on,,,#0080ff,,military,,,
Chad Underwood,NatGeo doc,mentioned_in,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Chaz King,NatGeo doc,appeared_on,,,#0080ff,,,,,
Christopher Mellon,Joe Rogan,appeared_on,media,2,#0080ff,2023-11-02,,,,
Christopher Mellon,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Chuck Schumer,NatGeo doc,appeared_on,,,#0080ff,,,,,
Danny Sheehan,Stanton Friedman,collaborated_with,,,#0080ff,,,,,
David Fravor,David Grusch,collaborated_with,,,#0080ff,,,,,
David Fravor,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
David Fravor,Tim Gallaudet,collaborated_with,,,#0080ff,,,,,
David Grusch,NatGeo doc,appeared_on,,,#0080ff,,,,,
David Schindele,NatGeo doc,mentioned_in,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Derrick Pitts,NatGeo doc,mentioned_in,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Diana Pasulka,Carl Jung,mentioned,,1,#ff2c41,2025-11-08,,,,
Diana Pasulka,Garry Nolan,collaborated_with,,1,#ff2c41,2025-11-08,,,,
Diana Pasulka,Hal Puthof,collaborated_with,,,#ff2c41,,,,,
Diana Pasulka,Jacques Valle,collaborated_with,,1,#ff2c41,2025-11-08,,,,
Diana Pasulka,Jeffrey Kripal,mentioned,,,#ff2c41,,,,,
Diana Pasulka,Joshua Cutchin,mentioned,,,#ff2c41,,,,,
Diana Pasulka,Karl Nell,collaborated_with,,1,#ff2c41,2025-11-08,,,,
Diana Pasulka,Leslie Kean,collaborated_with,,,#ff2c41,,,,,
Diana Pasulka,Philip K. Dick,mentioned,,,#ff2c41,,,,,
Diana Pasulka,Tim Gallaudet,collaborated_with,,,#ff2c41,,,,,
Donald Keyhoe,NatGeo doc,mentioned_in,,,#0080ff,,gov,,,
Edward Condon,NatGeo doc,appeared_on,,,#0080ff,,,,,
Fife Symington,NatGeo doc,mentioned_in,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Frank Mannor,NatGeo doc,mentioned_in,,,#0080ff,,,,,
Garrett Graff,NatGeo doc,appeared_on,,,#0080ff,,UFO author,,,
Garry Nolan,Bob Lazar,criticized,,1,#0080ff,2025-11-08,,,,
Garry Nolan,Christopher Mellon,interviewed,media,1,#0080ff,2024-05-10,,,,
Garry Nolan,David Grusch,collaborated_with,,1,#0080ff,2025-11-08,,,,
Garry Nolan,Jacques Valle,collaborated_with,,1,#0080ff,2025-11-08,,,,
Garry Nolan,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Garry Nolan,Neil D Tyson,criticized,,1,#0080ff,2025-11-08,,,,
Garry Nolan,Richard Dolan,mentioned,,,#0080ff,,,,,
George Knapp,Bob Lazar,interviewed,,1,#0080ff,2025-11-08,,,,
George Knapp,James Lacatski,interviewed,,,#0080ff,,,,,
George Knapp,Jeremy Corbell,collaborated_with,collab,1,#0080ff,2020-07-20,,,,
George Knapp,Matthew Brown,interviewed,,1,#0080ff,2025-11-08,,,,
George W. Bush,NatGeo doc,mentioned_in,,,#0080ff,,,,,
Hal Puthof,James Lacatski,collaborated_with,,1,#0080ff,2025-11-08,,,,
Hal Puthof,Robert Bigelow,collaborated_with,,1,#0080ff,2025-11-08,,,,
Hal Puthof,Steven Greer,collaborated_with,,,#0080ff,,,,,
Harry Reid,NatGeo doc,appeared_on,,,#0080ff,,,,,
Helene Cooper,Harry Reid,interviewed,,,#0080ff,,,,,
Helene Cooper,Leslie Kean,collaborated_with,,,#0080ff,,,,,
Helene Cooper,NatGeo doc,mentioned_in,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Helene Cooper,Ralph Blumenthal,collaborated_with,,,#0080ff,,,,,
Jacques Valle,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
James C. Goodall,Asymmetric Disclosure,appeared_on,,,#0080ff,,,,,
Jeffrey Nuccetelli,Chaz King,collaborated_with,,,#0080ff,,military,,,
Jeffrey Nuccetelli,NatGeo doc,appeared_on,,,#0080ff,,military,,,
Jeremy Corbell,Bob Lazar,interviewed,,1,#0080ff,2025-11-08,,,,
Jeremy Corbell,James Lacatski,interviewed,,,#0080ff,,,,,
Jeremy Corbell,Jay Stratton,interviewed,,,#0080ff,,,,,
Jeremy Corbell,Matthew Brown,interviewed,,1,#0080ff,2025-11-08,,,,
Jeremy Corbell,Stanton Friedman,interviewed,,,#0080ff,,,,,
Jesse Michels,David Grusch,interviewed,,1,#0080ff,2025-11-08,,,,
Jesse Michels,Diana Pasulka,interviewed,,1,#0080ff,2025-11-08,,,,
Jesse Michels,Eric Davis,interviewed,,,#0080ff,,,,,
Jesse Michels,Karl Nell,interviewed,,1,#0080ff,2025-11-08,,,,
Jesse Michels,Randy Anderson,interviewed,,1,#0080ff,2025-11-08,,,,
Jesse Michels,Randy Anderson,interviewed,,,#0080ff,,,,,
Jimmy Carter,NatGeo doc,mentioned_in,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Joe Rogan,Avi Loeb,interviewed,,1,red,2025-11-08,,,,
Joe Rogan,Bob Lazar,interviewed,media,1,red,2019-06-01,,,,
Joe Rogan,Christopher Mellon,interviewed,,,red,,,,,
Joe Rogan,David Fravor,interviewed,,1,red,2025-11-08,,,,
Joe Rogan,Diana Pasulka,interviewed,,1,red,2025-11-08,,,,
Joe Rogan,Garry Nolan,interviewed,,,red,,,,,
Joe Rogan,Hal Puthof,interviewed,,1,red,2025-11-08,,,,
Joe Rogan,Jacques Valle,interviewed,,1,red,2025-11-08,,,,
Joe Rogan,James Fox,interviewed,,,red,,,,,
Joe Rogan,Jeremy Corbell,interviewed,,1,red,2025-11-08,,,,
Joe Rogan,Jesse Michels,interviewed,,1,red,2025-11-08,,,,
Joe Rogan,Lue Elizondo,interviewed,,1,red,2025-11-08,,,,
Joe Rogan,Neil D Tyson,interviewed,,,red,,,,,
Joe Rogan,Robert Bigelow,interviewed,,1,red,2025-11-08,,,,
Joe Rogan,Ryan Graves,interviewed,media,,red,,,,,
Joe Rogan,Steven Greer,interviewed,,1,red,2025-11-08,,,,
Joe Rogan,Tom DeLonge,interviewed,,,red,,,,,
Joe Rogan,Tulsi Gabbard,interviewed,media,1,red,2022-10-25,,,,
Joe Rogan,Shawn Ryan,interviewed,,,red,,,,,
John Brennan,NatGeo doc,mentioned,,,#0080ff,,gov,,,
John Podesta,NatGeo doc,mentioned_in,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Karl Nell,NatGeo doc,mentioned_in,,,#0080ff,,military,,,
Kristen Gillibrand,Harry Reid,collaborated_with,,,#0080ff,,,,,
Kristen Gillibrand,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,politician,,https://www.youtube.com/watch?v=1WwGGuQljl4
Lawrence J. Tacker,NatGeo doc,mentioned_in,,,#0080ff,,,military,,
Leslie Kean,Allen Hynek,mentioned,,,#ff5314,,,,,
Leslie Kean,Avi Loeb,interviewed,,,#ff5314,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Leslie Kean,Chuck Schumer,interviewed,,,#ff5314,,,,,
Leslie Kean,David Grusch,interviewed,,,#ff5314,,,,,
Leslie Kean,Helene Cooper,collaborated_with,,,#ff5314,,,,,
Leslie Kean,James Fox,mentioned,,,#ff5314,,,,,
Leslie Kean,NatGeo doc,appeared_on,,,#ff5314,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Leslie Kean,Peter Gumpel,mentioned,,,#ff5314,,,,,
Leslie Kean,Ralph Blumenthal,collaborated_with,,,#ff5314,,,,,
Leslie Kean,Steven J. Dick,mentioned,,,#ff5314,,,,,
Leslie Kean,Stewart Alexander,mentioned,,,#ff5314,,,,,
Leslie Kean,Whitley Strieber,mentioned,,,#ff5314,,,,,
Linda Powell,NatGeo doc,appeared_on,,,#0080ff,,ufo writer,,,
Lt. General John A. Samford,NatGeo doc,mentioned_in,,,#0080ff,,,military,,
Lue Elizondo,Christopher Mellon,collaborated_with,,1,#0080ff,2025-11-08,,,,
Lue Elizondo,Jeremy Corbell,collaborated_with,collab,2,#0080ff,2021-09-15,,,,
Lue Elizondo,NatGeo doc,appeared_on,,,#0080ff,,,,,
Marco Rubio,Christopher Mellon,briefed,gov,1,#0080ff,2020-06-05,,,,
Marco Rubio,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,,Nat Geo - UFO's investigating the unkown,https://www.youtube.com/watch?v=1WwGGuQljl4
Mark Rodeghier,NatGeo doc,mentioned_in,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Matthew Brown,David Grusch,collaborated_with,,,#0080ff,,,,,
Matthew Brown,Lue Elizondo,mentioned,,,#0080ff,,,,,
Michael Herrera,Steven Greer,collaborated_with,,,#0080ff,,military,,,
Michael Schratt,Asymmetric Disclosure,appeared_on,,,#0080ff,,aerospace historian,,,
Michio Kaku,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Ralph Blumenthal,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Richard Dolan,Avi Loeb,mentioned,media,1,#0080ff,2025-11-08,writer,physicist,,
Richard Dolan,Jacob Barber,mentioned,media,1,#0080ff,2025-11-08,writer,military,,
Richard Dolan,Leonard Stringfield,wrote_about,literature,1,#0080ff,2025-11-08,writer,researcher,,
Richard Dolan,Randy Anderson,mentioned,media,1,#0080ff,2025-11-08,writer,military,,
Richard Dolan,Ross Coulthart,mentioned,media,1,#0080ff,2025-11-08,writer,journalist,,
Richard Heines,NatGeo doc,mentioned_in,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Robert Jamison,NatGeo doc,mentioned_in,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Robert Powell,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Robert Powell,NatGeo doc,appeared_on,,,#0080ff,,,,,
Robert Salas,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Robert Salas,Steven Greer,collaborated_with,,,#0080ff,,,,,
Ross Coulthart,David Grusch,interviewed,,1,#0080ff,2025-11-08,journalist,,,
Ross Coulthart,Garry Nolan,interviewed,,1,#0080ff,2025-11-08,journalist,,,
Ross Coulthart,Jacob Barber,interviewed,media,1,#0080ff,2025-11-08,journalist,military,,
Ross Coulthart,Lue Elizondo,interviewed,,1,#0080ff,2025-11-08,journalist,,,
Ross Coulthart,Tim Gallaudet,interviewed,,,#0080ff,,journalist,,,
Ryan Graves,David Fravor,collaborated_with,,,#0080ff,,,,,
Ryan Graves,David Fravor,interviewed,military,1,#0080ff,2023-07-05,,,,https://www.youtube.com/watch?v=KuX4GLHLRz8
Ryan Graves,David Grusch,collaborated_with,,,#0080ff,,,,,
Ryan Graves,Jeffrey Nuccetelli,interviewed,,,#0080ff,,,,,
Ryan Graves,NatGeo doc,appeared_on,,,#0080ff,2024-10-05,,,,https://www.youtube.com/watch?v=1WwGGuQljl4
Ryan Graves,Tim Gallaudet,collaborated_with,,,#0080ff,,,,,
Shane Harris,NatGeo doc,appeared_on,,,#0080ff,,WaPo writer,,,
Shawn Ryan,Diana Pasulka,interviewed,,1,#0080ff,2025-11-08,podcaster,,,
Shawn Ryan,Michael Herrera,interviewed,media,1,#0080ff,2025-11-08,podcaster,military,,
Shawn Ryan,Steven Greer,interviewed,,1,#0080ff,2025-11-08,podcaster,,,
Shawn Ryan,Avi Loeb,interviewed,,,#0080ff,,podcaster,,,
Shawn Ryan,Tim Gallaudet,interviewed,,,#0080ff,,podcaster,,,
Shawn Ryan,Billy Carson,interviewed,,,#0080ff,,podcaster,,,
Shawn Ryan,Tim Burchett,interviewed,,,#0080ff,,podcaster,,,
Shawn Ryan,DC Long,interviewed,,,#0080ff,,podcaster,,,
Steven Greer,Asymmetric Disclosure,appeared_on,,,green,,ufo researcher,,,
Steven Greer,Avi Loeb,criticized,,1,green,2025-11-08,ufo researcher,,,
Steven Greer,Danny Sheehan,collaborated_with,,,green,,ufo researcher,,,
Steven Greer,Jacob Barber,collaborated_with,activism,1,green,2025-11-08,ufo researcher,military,,
Steven Greer,Lue Elizondo,criticized,,1,green,2025-11-08,ufo researcher,,,
Steven Greer,The Disclosure Project,mentioned_in,,,green,,ufo researcher,,,
Steven Greer,Tim Burchett,criticized,,,green,,ufo researcher,,,
Steven Spielberg,Jacques Valle,collaborated_with,,,#0080ff,,,,,
Tim Burchett,Asymmetric Disclosure,appeared_on,,,#0080ff,,,,,
Tim Burchett,NatGeo doc,appeared_on,,,#0080ff,,,,,
Tim Gallaudet,NatGeo doc,appeared_on,,,#0080ff,,,,,
Tim Ventura,Alien Scientist,interviewed,,1,#0080ff,2025-11-08,,,,
Tim Ventura,Avi Loeb,interviewed,,1,#0080ff,2025-11-08,,,,
Tim Ventura,Chris Lehto,interviewed,,,#0080ff,,,,,
Tim Ventura,Eamonn Ansbro,interviewed,,,#0080ff,,,,,
Tim Ventura,Garry Nolan,interviewed,,,#0080ff,,,,,
Tim Ventura,Jack Sarfatti,interviewed,,1,#0080ff,2025-11-08,,,,
Tim Ventura,Robert Salas,interviewed,,,#0080ff,,,,,
Tim Ventura,Ryan Graves,interviewed,,,#0080ff,,,,,
Michael Herrera,David Grusch,criticized,,,#0080ff,,military,,,